Hari_ke;Tanggal;Jumlah_Kasus_Kumulatif;Jumlah_Pasien_Sembuh;Jumlah_Pasien_Meninggal;Jumlah_Pasien_Dalam_Perawatan;Jumlah_Kasus_Baru_per_Hari;Jumlah_Kasus_Sembuh_per_Hari;Jumlah_Kasus_Meninggal_per_Hari;Jumlah_Kasus_Dirawat_per_Hari;Persentase_Pasien_Sembuh;Persentase_Pasien_Meninggal;Persentase_Pasien_dalam_Perawat;Jumlah_Spesimen_Diperiksa;Jumlah_Kasus_Diperiksa;Jumlah_Negatif;Spesimen_Diperiksa_Baru_Harian;Kasus_Diperiksa_Baru_Harian;PDP;ODP;Penambahan_Kasus_Terkonfirmasi_;Kasus_Sedang_Investigasi_Lapang;Jumlah_Spesimen_Diperiksa_Terki;Jumlah_Kasus_Diperiksa_Terkini;Spesimen_Diperiksa_Baru_Harian_;Hasil_Positif_Terkini;Hasil_Negatif_Terkini;PDP_Terkini;ODP_Terkini;Suspek_Terkini;Jumlah_Provinsi_Terdampak;Jumlah_KabKot_Terdampak;Pembaruan_Terakhir;FID
124;2020/07/03 00:00:00+00;60695;27568;3036;30091;1301;901;49;351;4.542.054.535;5.002.059.478;4.957.739.517;871436;519970;459275;22281;16838;13609;38767;;;;;;;;;;;;;1970/01/01 00:00:00+00;331
125;2020/07/04 00:00:00+00;62142;28219;3089;30834;1447;651;53;743;4.541.051.141;4.970.873.161;4.961.861.543;894428;529669;467257;22992;9699;14205;38890;;;;;;;;;;;;;1970/01/01 00:00:00+00;332
126;2020/07/05 00:00:00+00;63749;29105;3171;31473;1607;886;82;639;4.565.561.813;4.974.195.674;493.701.862;915482;540175;476426;21045;10506;13767;39928;;;;;;;;;;;;;1970/01/01 00:00:00+00;333
127;2020/07/06 00:00:00+00;64958;29919;3241;31798;1209;814;70;325;4.605.899.196;4.989.377.752;4.895.163.028;928238;552084;487126;12756;11909;13360;38748;;;;;;;;;;;;;1970/01/01 00:00:00+00;334
128;2020/07/07 00:00:00+00;66226;30785;3309;32132;1268;866;68;334;4.648.476.429;4.996.527.044;4.851.870.866;946054;562759;496533;17816;10675;13471;38702;;;;;;;;;;;;;1970/01/01 00:00:00+00;335
129;2020/07/08 00:00:00+00;68079;31585;3359;33135;1853;800;50;1003;4.639.462.977;4.933.973.766;4.867.139.647;968237;581594;507447;22183;12777;13636;38498;;;;;;;;;;;;;1970/01/01 00:00:00+00;336
130;2020/07/09 00:00:00+00;70736;32651;3417;34668;2657;1066;58;1533;4.615.895.725;4.830.637.865;4.901.040.489;992069;588080;517344;23832;12554;13732;38498;;;;;;;;;;;;;1970/01/01 00:00:00+00;337
131;2020/07/10 00:00:00+00;72347;33529;3469;35349;1611;878;52;681;4.634.469.985;4.794.946.577;4.886.035.357;1015678;597468;525121;23609;9388;13882;38705;;;;;;;;;;;;;1970/01/01 00:00:00+00;338
132;2020/07/11 00:00:00+00;74018;34719;3535;35764;1671;1190;66;415;4.690.615.796;477.586.533;4.831.797.671;1038988;610093;536075;23310;12625;13752;34887;;;;;;;;;;;;;1970/01/01 00:00:00+00;339
133;2020/07/12 00:00:00+00;75699;35638;3606;36455;1681;919;71;691;4.707.856.114;4.763.603.218;4.815.783.564;1061367;621087;545388;22379;10994;14515;34486;;;;;;;;;;;;;1970/01/01 00:00:00+00;340
134;2020/07/13 00:00:00+00;76981;36689;3656;36636;1282;1051;50;181;4.765.981.216;4.749.223.834;47.590.964;1074467;630149;553168;13100;9062;13439;33504;;;;;;;;;;;;;1970/01/01 00:00:00+00;341
135;2020/07/14 00:00:00+00;78572;37636;3710;37226;1591;947;54;590;4.790.001.527;4.721.783.842;4.737.820.089;1097468;642164;563592;23001;12015;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;342
136;2020/07/15 00:00:00+00;80094;39050;3797;37247;1522;1414;87;21;4.875.521.263;4.740.679.701;4.650.410.767;1122339;657655;577561;24871;15491;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;343
137;2020/07/16 00:00:00+00;81668;40345;3873;37450;1574;1295;76;203;4.940.123.427;4.742.371.553;4.585.639.418;1146794;669811;588143;23947;12156;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;344
138;2020/07/17 00:00:00+00;83130;41834;3957;37339;1462;1489;84;111;5.032.358.956;4.760.014.435;4.491.639.601;1175462;683805;600675;29176;13994;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;345
139;2020/07/18 00:00:00+00;84882;43268;4016;37598;1752;1434;59;259;5.097.429.373;4.731.274.004;4.429.443.227;1201014;697043;612161;25552;13238;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;346
140;2020/07/19 00:00:00+00;86521;45401;4143;36977;1639;2133;127;621;5.247.396.586;4.788.432.866;4.273.760.128;1221518;707238;620717;20504;10195;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;347
141;2020/07/20 00:00:00+00;88214;46977;4239;36998;1693;1576;96;21;5.325.345.183;4.805.359.693;4.194.118.847;1235545;720497;632283;14027;13259;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;348
142;2020/07/21 00:00:00+00;89869;48466;4320;37083;1655;1489;81;85;5.392.960.865;4.806.996.851;412.633.945;1257807;737844;647975;22262;17347;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;349
143;2020/07/22 00:00:00+00;91751;50255;4459;37037;1882;1789;139;46;5.477.324.498;4.859.892.535;4.036.686.249;1283109;749626;657875;25302;11782;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;350
144;2020/07/23 00:00:00+00;93657;52164;4576;36917;1906;1909;117;120;5.569.685.128;4.885.913.493;3.941.723.523;1310924;762957;669300;27815;13331;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;351
145;2020/07/24 00:00:00+00;95418;53945;4665;36808;1761;1781;89;109;5.653.545.453;4.889.014.651;3.857.553.082;1335889;777100;681682;24965;14143;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;352
146;2020/07/25 00:00:00+00;97286;55354;4714;37218;1868;1409;49;410;5.689.821.763;4.845.507.062;3.825.627.531;1361207;789258;691972;25318;12158;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;353
147;2020/07/26 00:00:00+00;98778;56655;4781;37342;1492;1301;67;124;5.735.588.896;4.840.146.591;3.780.396.445;1381699;796950;698172;20492;7692;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;354
148;2020/07/27 00:00:00+00;100303;58173;4838;37292;1525;1518;57;50;5.799.726.828;4.823.385.143;3.717.934.658;1394759;807946;707643;13060;10996;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;355
149;2020/07/28 00:00:00+00;102051;60539;4901;36611;1748;2366;63;681;5.932.229.963;480.250.071;3.587.519.966;1417322;823168;721117;22563;15222;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;356
150;2020/07/29 00:00:00+00;104432;62138;4975;37319;2381;1599;74;708;5.950.091.926;4.763.865.482;3.573.521.526;1447583;841027;736595;30261;17859;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;357
151;2020/07/30 00:00:00+00;106336;64292;5058;36986;1904;2154;83;333;6.046.117.966;4.756.620.524;3.478.219.982;1477629;856003;749667;30046;14976;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;358
152;2020/07/31 00:00:00+00;108376;65907;5131;37338;2040;1615;73;352;6.081.327.969;473.444.305;3.445.227.726;1506191;866539;758163;28562;10536;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;359
153;2020/08/01 00:00:00+00;109936;67919;5193;36824;1560;2012;62;514;6.178.049.047;4.723.657.401;3.349.585.213;1517381;875894;765958;11190;9355;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;360
154;2020/08/02 00:00:00+00;111455;68975;5236;37244;1519;1056;43;420;6.188.596.294;4.697.860.123;3.341.617.693;1537413;882352;770897;20032;6458;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;361
155;2020/08/03 00:00:00+00;113134;70237;5302;37595;1679;1262;66;351;620.830.166;4.686.477.982;3.323.050.542;1552141;894531;781395;14728;12179;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;362
156;2020/08/04 00:00:00+00;115056;72050;5388;37618;1922;1813;86;23;6.262.167.988;4.682.937.005;3.269.538.312;1575043;907987;793110;22902;13456;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;363
157;2020/08/05 00:00:00+00;116871;73889;5452;37530;1815;1839;64;88;6.322.269.853;4.664.972.491;3.211.232.898;1603781;922709;806017;28738;14722;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;364
158;2020/08/06 00:00:00+00;118753;75645;5521;37587;1882;1756;69;57;6.369.944.338;4.649.145.706;3.165.141.091;1633156;936132;817558;29375;13423;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;365
159;2020/08/07 00:00:00+00;121226;77557;5593;38076;2473;1912;72;489;6.397.719.961;4.613.696.732;3.140.910.366;1663315;951910;830684;30159;15599;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;366
160;2020/08/08 00:00:00+00;123503;79306;5658;38539;2277;1749;65;463;6.421.382.477;4.581.265.232;3.120.491;1693880;963602;840099;30565;11692;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;161
161;2020/08/09 00:00:00+00;125396;80952;5723;38721;1893;1646;65;182;6.455.708.316;4.563.941.434;3.087.897.541;1715798;972594;847198;21918;8992;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;164
162;2020/08/10 00:00:00+00;127083;82236;5765;39082;1687;1284;42;361;6.471.046.481;4.536.405.341;3.075.312.984;1731634;984893;857810;15836;12299;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;166
163;2020/08/11 00:00:00+00;128776;83710;5824;39242;1693;1474;59;160;6.500.434.864;4.522.581.848;3.047.306.952;1757425;998406;869630;25791;13513;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;168
164;2020/08/12 00:00:00+00;130718;85798;5903;39017;1942;2088;79;225;6.563.594.914;4.515.827.966;2.984.822.289;1783673;1012104;881386;26248;13698;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;170
165;2020/08/13 00:00:00+00;132816;87558;5968;39290;2098;1760;65;273;6.592.428.623;4.493.434.526;2.958.227.924;1809487;1026954;894138;25814;14850;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;172
166;2020/08/14 00:00:00+00;135123;89618;6021;39484;2307;2060;53;194;6.632.327.583;4.455.940.143;2.922.078.403;1835505;1039682;904559;26018;12728;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;174
167;2020/08/15 00:00:00+00;137468;91321;6071;40076;2345;1703;50;592;6.643.073.297;4.416.300.521;2.915.296.651;1862801;1052503;915035;27296;12821;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;176
168;2020/08/16 00:00:00+00;139549;93103;6150;40296;2081;1782;79;220;6.671.706.712;4.407.054.153;2.887.587.872;1888215;1061721;922172;25414;9218;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;178
169;2020/08/17 00:00:00+00;141370;94458;6207;40705;1821;1355;57;409;6.681.615.619;4.390.606.211;287.932.376;1900668;1068945;927575;12453;7224;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;180
170;2020/08/18 00:00:00+00;143043;96306;6277;40460;1673;1848;70;245;6.732.660.808;4.388.190.964;2.828.520.095;1915039;1081354;938311;14371;12409;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;182
171;2020/08/19 00:00:00+00;144945;98657;6346;39942;1902;2351;69;518;6.806.512.815;4.378.212.425;2.755.665.942;1941117;1096294;951349;26078;14940;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;184
172;2020/08/20 00:00:00+00;147211;100674;6418;40119;2266;2017;72;177;6.838.755.256;4.359.728.553;2.725.271.889;1969941;1108068;960857;28824;11774;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;186
173;2020/08/21 00:00:00+00;149408;102991;6500;39917;2197;2317;82;202;6.893.272.114;435.050.332;2.671.677.554;1989870;1121602;972194;19929;13534;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;188
174;2020/08/22 00:00:00+00;151498;105198;6594;39706;2090;2207;94;211;6.943.854.044;4.352.532.707;2.620.892.685;2014619;1139768;988270;24749;18166;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;190
175;2020/08/23 00:00:00+00;153535;107500;6680;39355;2037;2302;86;351;7.001.660.859;4.350.799.492;2.563.259.192;2036771;1157184;1003649;22152;17416;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;192
176;2020/08/24 00:00:00+00;155412;111060;6759;37593;1877;3560;79;1762;7.146.166.319;4.349.085.013;241.892.518;2056166;1173369;1017957;19395;16185;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;194
177;2020/08/25 00:00:00+00;157859;112867;6858;38134;2447;1807;99;541;7.149.861.585;4.344.383.279;2.415.700.087;2077441;1191948;1034089;21275;18579;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;196
178;2020/08/26 00:00:00+00;160165;115409;6944;37812;2306;2542;86;322;7.205.631.692;4.335.528.986;2.360.815.409;2106753;1212468;1052303;29312;20520;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;198
179;2020/08/27 00:00:00+00;162884;118575;7064;37245;2719;3166;120;567;7.279.720.537;4.336.828.663;2.286.596.596;2136416;1233486;1070602;29663;21018;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;199
180;2020/08/28 00:00:00+00;165887;120900;7169;37818;3003;2325;105;573;7.288.093.702;4.321.616.522;2.279.744.645;2169498;1250135;1084248;33082;16649;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;200
181;2020/08/29 00:00:00+00;169195;122802;7261;39132;3308;1902;92;1314;7.258.015.899;4.291.497.976;2.312.834.304;2198403;1271301;1102106;28905;21166;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;201
182;2020/08/30 00:00:00+00;172053;124185;7343;40525;2858;1383;82;1393;721.783.404;4.267.870.947;2.355.378.866;2224337;1282618;1110565;25934;11317;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;202
183;2020/08/31 00:00:00+00;174796;125959;7417;41420;2743;1774;74;895;7.206.057.347;4.243.232.111;2.369.619.442;2239642;1297184;1122388;15305;14566;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;203
184;2020/09/01 00:00:00+00;177571;128057;7505;42009;2775;2098;88;589;7.211.594.236;4.226.478.423;2.365.757.922;2270267;1312477;1134906;30625;15293;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;204
185;2020/09/02 00:00:00+00;180646;129971;7616;43059;3075;1914;111;1050;719.478.981;4.215.980.426;2.383.612.148;2301268;1333985;1153339;31001;21508;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;205
186;2020/09/03 00:00:00+00;184268;132055;7750;44463;3622;2084;134;1404;7.166.464.063;4.205.830.638;2.412.952.873;2338865;1353291;1169023;37597;19306;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;206
187;2020/09/04 00:00:00+00;187537;134181;7832;45524;3269;2126;82;1061;7.154.908.098;4.176.242.555;2.427.467.646;2375133;1371391;1183854;36268;18100;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;207
188;2020/09/05 00:00:00+00;190665;136401;7940;46324;3128;2220;108;800;7.153.961.136;4.164.372.066;2.429.601.657;2405773;1388288;1197623;30640;16897;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;208
189;2020/09/06 00:00:00+00;194109;138575;8025;47509;3444;2174;85;1185;7.139.030.133;4.134.275.072;244.754.236;2433752;1401513;1207404;27979;13225;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;209
190;2020/09/07 00:00:00+00;196989;140652;8130;48207;2880;2077;105;698;7.140.094.117;4.127.134.002;2.447.192.483;2452164;1417694;1220705;18412;16181;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;210
191;2020/09/08 00:00:00+00;200035;142958;8230;48847;3046;2306;100;640;7.146.649.336;4.114.280.001;2.441.922.664;2484807;1434294;1234259;32643;16600;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;211
192;2020/09/09 00:00:00+00;203342;145200;8336;49806;3307;2242;106;959;714.067.925;4.099.497.398;244.937.101;2514670;1449629;1246287;29863;15335;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;212
193;2020/09/10 00:00:00+00;207203;147510;8456;51237;3861;2310;120;1431;7.119.105.418;4.081.021.993;2.472.792.382;2549579;1469943;1262740;34909;20314;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;213
194;2020/09/11 00:00:00+00;210940;150217;8544;52179;3737;2707;88;942;7.121.314.118;4.050.440.884;2.473.641.794;2581433;1498292;1287352;31813;28349;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;214
195;2020/09/12 00:00:00+00;214746;152458;8650;53638;3806;2241;106;1459;7.099.457.033;4.028.014.492;2.497.741.518;2620004;1523214;1308468;38571;24922;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;215
196;2020/09/13 00:00:00+00;218382;155010;8723;54649;3636;2552;73;1011;7.098.112.482;3.994.376.826;2.502.449.836;2650104;1549352;1330970;30100;26138;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;216
197;2020/09/14 00:00:00+00;221523;158405;8841;54277;3141;3395;118;372;7.150.724.755;3.991.007.706;2.450.174.474;2672710;1569545;1348022;22606;20193;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;217
198;2020/09/15 00:00:00+00;225030;161065;8965;55000;3507;2660;124;723;7.157.490.112;3.983.913.256;2.444.118.562;2715346;1592056;1367026;42636;22511;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;218
199;2020/09/16 00:00:00+00;228993;164101;9100;55792;3963;3036;135;792;7.166.201.587;39.739.206;2.436.406.353;2755120;1622769;1393776;39774;30713;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;219
200;2020/09/17 00:00:00+00;232628;166686;9222;56720;3635;2585;122;928;716.534.553;3.964.269.134;2.438.227.556;2796924;1652324;1419696;41804;29555;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;220
201;2020/09/18 00:00:00+00;236519;170774;9336;56409;3891;4088;114;311;7.220.307.882;3.947.251.595;2.384.966.958;2841352;1676648;1440129;44428;24324;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;221
202;2020/09/19 00:00:00+00;240687;174350;9448;56889;4168;3576;112;480;7.243.847.819;3.925.430.123;2.363.609.169;2885508;1698202;1457515;44156;21554;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;222
203;2020/09/20 00:00:00+00;244676;177327;9553;57796;3989;2977;105;907;7.247.421.079;3.904.346.973;2.362.144.223;2922648;1718175;1473499;36753;19973;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;223
204;2020/09/21 00:00:00+00;248852;180797;9677;58378;4176;3470;124;582;7.265.241.991;3.888.656.712;2.345.892.338;2950173;1743000;1494148;27525;24825;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;224
205;2020/09/22 00:00:00+00;252923;184298;9837;58788;4071;3501;160;410;7.286.723.627;3.889.326;2.324.343.773;2994069;1774065;1521142;43896;31065;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;225
206;2020/09/23 00:00:00+00;257388;187958;9977;59453;4465;3660;140;665;7.302.516.046;3.876.249.087;2.309.859.045;3032250;1799563;1542175;38181;25498;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;226
207;2020/09/24 00:00:00+00;262022;191853;10105;60064;4634;3895;128;611;7.322.018.762;3.856.546.397;2.292.326.599;3074814;1834349;1572327;42564;34786;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;227
208;2020/09/25 00:00:00+00;266845;196196;10218;60431;4823;4343;113;367;735.243.306;382.918.923;2.264.648.017;3120947;1860768;1593923;46133;26419;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;228
209;2020/09/26 00:00:00+00;271339;199403;10308;61628;4494;3207;90;1197;7.348.851.437;379.893.786;2.271.254.777;3169783;1886426;1615087;48836;25658;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;229
210;2020/09/27 00:00:00+00;275213;203014;10386;61813;3874;3611;78;185;737.661.375;377.380.429;2.246.005.821;3207055;1907226;1632013;37272;20800;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;230
211;2020/09/28 00:00:00+00;278722;206870;10473;61379;3509;3856;87;434;7.422.090.829;3.757.507.481;2.202.158.423;3239244;1934863;1656141;32189;27637;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;231
212;2020/09/29 00:00:00+00;282724;210437;10601;61686;4002;3567;128;307;7.443.195.484;3.749.593.243;2.181.845.192;3276402;1962754;1680030;37158;27891;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;232
213;2020/09/30 00:00:00+00;287008;214947;10740;61321;4284;4510;139;365;748.923.375;3.742.055.971;2.136.560.653;3321898;1993694;1706686;45496;30940;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;160
214;2020/10/01 00:00:00+00;291182;218487;10856;61839;4174;3540;116;518;750.345.145;3.728.252.433;2.123.723.307;3365490;2023990;1732808;43592;30296;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;162
215;2020/10/02 00:00:00+00;295499;221340;10972;63187;4317;2853;116;1348;7.490.380.678;371.304.133;2.138.315.189;3407911;2050821;1755322;42421;26831;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;163
216;2020/10/03 00:00:00+00;299506;225052;11055;63399;4007;3712;83;212;7.514.106.562;3.691.077.975;211.678.564;3451398;2074943;1775437;43487;24122;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;165
217;2020/10/04 00:00:00+00;303498;228453;11151;63894;3992;3401;96;495;7.527.331.317;3.674.159.303;2.105.252.753;3488141;2096584;1793086;36743;21641;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;167
218;2020/10/05 00:00:00+00;307120;232593;11253;63274;3622;4140;102;620;7.573.358.948;3.664.040.115;2.060.237.041;3515165;2119355;1812235;27024;22771;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;169
219;2020/10/06 00:00:00+00;311176;236437;11374;63365;4056;3844;121;91;7.598.175.952;3.655.166.208;2.036.307.427;3551507;2145508;1834332;36342;26153;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;171
220;2020/10/07 00:00:00+00;315714;240291;11472;63951;4538;3854;98;586;7.611.034.037;3.633.668.447;2.025.599.118;3595719;2177675;1861961;44212;32167;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;173
221;2020/10/08 00:00:00+00;320564;244060;11580;64924;4850;3769;108;973;7.613.456.283;3.612.383.175;2.025.305.399;3639108;2210576;1890012;43389;32901;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;175
222;2020/10/09 00:00:00+00;324658;247667;11677;65314;4094;3607;97;390;7.628.550.659;359.670.792;2.011.778.549;3683808;2249694;1925036;44700;39118;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;177
223;2020/10/10 00:00:00+00;328952;251481;11765;65706;4294;3814;88;392;764.491.476;3.576.509.643;1.997.434.276;3726476;2283369;1954417;42668;33675;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;179
224;2020/10/11 00:00:00+00;333449;255027;11844;66578;4497;3546;79;872;764.815.609;3.551.967.467;1.996.647.163;3762808;2305532;1972083;36332;22163;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;181
225;2020/10/12 00:00:00+00;336716;258519;11935;66262;3267;3492;91;316;7.677.657.135;3.544.530.108;1.967.889.854;3802093;2338550;2001834;39285;33018;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;183
226;2020/10/13 00:00:00+00;340622;263296;12027;65299;3906;4777;92;963;7.729.858.905;3.530.893.483;1.917.051.747;3852511;2378562;2037940;50418;40012;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;185
227;2020/10/14 00:00:00+00;344749;267851;12156;64742;4127;4555;129;557;7.769.449.658;3.526.043.585;1.877.945.984;3892904;2415606;2070857;40393;37044;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;187
228;2020/10/15 00:00:00+00;349160;273661;12268;63231;4411;5810;112;1511;7.837.696.185;3.513.575.438;1.810.946.271;3935112;2449725;2100565;42208;34119;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;189
229;2020/10/16 00:00:00+00;353461;277544;12347;63570;4301;3883;79;339;7.852.181.712;3.493.171.807;1.798.501.108;3976653;2479922;2126461;41541;30197;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;191
230;2020/10/17 00:00:00+00;357762;281592;12431;63739;4301;4048;84;169;7.870.930.954;3.474.656.336;1.781.603.412;4019958;2505898;2148136;43305;25976;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;193
231;2020/10/18 00:00:00+00;361867;285324;12511;64032;4105;3732;80;293;7.884.775.346;3.457.347.589;1.769.489.895;4056336;2528319;2166452;36378;22421;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;195
232;2020/10/19 00:00:00+00;365240;289243;12617;63380;3373;3919;106;652;791.925.857;3.454.440.916;1.735.297.339;4092595;2553521;2188281;36259;25202;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;197
233;2020/10/20 00:00:00+00;368842;293653;12734;62455;3602;4410;117;925;7.961.484.863;3.452.426.784;1.693.272.458;4123624;2583085;2214243;31029;29564;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;233
234;2020/10/21 00:00:00+00;373109;297509;12857;62743;4267;3856;123;288;797.378.246;3.445.909.908;1.681.626.549;4167210;2613682;2240573;43586;30597;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;234
235;2020/10/22 00:00:00+00;377541;301006;12959;63576;4432;3497;102;833;7.972.802.954;3.432.474.884;1.683.949.558;4211138;2647094;2269553;43928;33412;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;235
236;2020/10/23 00:00:00+00;381910;305100;13077;63733;4369;4094;118;157;7.988.793.171;3.424.105.156;1.668.796.313;4253425;2679774;2297864;42287;32680;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;236
237;2020/10/24 00:00:00+00;385980;309219;13205;63556;4070;4119;128;177;8.011.270.014;3.421.161.718;1.646.613.814;4293347;2711239;2325259;39922;31465;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;237
238;2020/10/25 00:00:00+00;389712;313764;13299;62649;3732;4545;94;907;8.051.176.253;3.412.520.015;1.607.571.745;4327144;2730231;2340519;33797;18992;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;238
239;2020/10/26 00:00:00+00;392934;317672;13411;61851;3222;3908;112;798;8.084.614.719;3.413.041.376;1.574.081.143;4351557;2749269;2356335;24413;19.038;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;239
240;2020/10/27 00:00:00+00;396454;322248;13512;60694;3520;4576;101;1157;8.128.256.998;3.408.213.815;153.092.162;4388995;2777969;2381515;37438;28700;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;240
241;2020/10/28 00:00:00+00;400483;325793;13612;61078;4029;3545;100;384;8.135.001.985;3.398.895.833;1.525.108.432;4429567;2805313;2404830;40572;27344;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;241
242;2020/10/29 00:00:00+00;404048;329778;13701;60569;3565;3985;89;509;8.161.852.057;339.093.375;1.499.054.568;4463884;2830706;2426658;34317;25393;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;242
243;2020/10/30 00:00:00+00;406945;334295;13782;58868;2897;4517;81;1701;8.214.746.465;3.386.698.448;1.446.583.691;4488738;2853984;2447039;24854;23278;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;243
244;2020/10/31 00:00:00+00;410088;337801;13869;58418;3143;3506;87;450;8.237.280.779;3.381.957.043;1.424.523.517;4517739;2881443;2471355;29001;27459;;;;;;;;;;;;;;;1970/01/01 00:00:00+00;244
